Country,2014,2015,2016
United States,17521.75,18219.3,18707.15
China,10534.53,11226.19,11221.84
Japan,4850.41,4389.48,4926.67
Germany,3904.92,3383.09,3496.61
United Kingdom,3036.31,2897.06,2669.11
France,2856.7,2439.44,2466.15
India,2039.13,2103.59,2289.75
Italy,2155.15,1833.2,1869.97
Brazil,2456.17,1800.03,1795.6
Canada,1803.53,1556.13,1530.27
Korea,1411.33,1382.76,1414.8
Russia,2056.58,1363.71,1282.66
Australia,1457.48,1235.06,1267.85
Spain,1379.1,1199.69,1238.01
Mexico,1314.57,1170.57,1077.83
Indonesia,891.051,860.741,932.066
Turkey,934.075,859.449,863.39
Netherlands,892.397,765.65,783.852
Switzerland,709.496,679.721,670.247
Saudi Arabia,756.35,654.27,644.936
Argentina,563.614,642.464,556.774
Taiwan Province of China,530.515,525.601,531.357
Sweden,574.413,498.118,512.205
Nigeria,568.496,493.841,405.442
Poland,545.284,477.568,471.843
Belgium,531.651,456.067,469.931
Thailand,407.339,401.266,412.437
Norway,499.338,386.663,371.345
Austria,442.698,381.998,394.215
Islamic Republic of Iran,423.409,375.404,404.445
United Arab Emirates,403.137,358.135,357.045
Egypt,305.567,332.075,332.484
Venezuela,212.347,323.595,279.249
South Africa,350.901,317.578,296.273
Hong Kong SAR,291.438,309.359,320.877
Singapore,313.26,306.254,316.558
Denmark,352.994,302.673,311.988
Israel,310.008,300.471,319.378
Malaysia,338.066,296.636,296.753
Colombia,381.241,293.493,282.72
Philippines,284.585,292.774,304.889
Ireland,259.2,290.858,301.968
Pakistan,244.361,270.556,278.655
Chile,260.479,243.908,250.265
Finland,273.042,232.582,239.15
Bangladesh,184.013,208.322,235.623
Portugal,229.995,199.521,206.361
Greece,237.406,196.69,195.303
Peru,202.196,191.515,194.47
Vietnam,185.759,191.288,201.326
Czech Republic,207.818,186.83,195.09
Kazakhstan,221.416,184.388,137.289
Romania,199.628,177.895,188.495
Iraq,234.651,177.722,170.518
New Zealand,199.755,175.398,185.059
Algeria,213.81,165.979,160.13
Qatar,206.225,161.74,151.732
Hungary,140.083,123.074,126.008
Angola,145.712,116.194,101.124
Kuwait,162.695,114.606,109.381
Morocco,110.081,101.179,103.346
Ecuador,101.726,99.29,99.938
Ukraine,130.571,90.489,93.313
Slovak Republic,101.109,87.814,89.885
Sri Lanka,79.312,80.557,81.776
Oman,81.077,68.919,65.941
Dominican Republic,66.157,68.898,72.434
Uzbekistan,63.113,66.489,67.069
Sudan,60.726,65.296,55.566
